Type,PLT_S_DART,PLT_S_DART.1,Mix.type,Mix.type.OD,Solo.matchings,CLASSIFICATION,nAI.ED_NO,AI_1.Amount,AI_2.Amount,AI_3.Amount,AI_4.Amount,AI_1.Proportion,AI_2.Proportion,AI_3.Proportion,AI_4.Proportion,Density.mixture,Type.mixture,AI_1.PLT_S_DART,AI_1.ED_NO,AI_2.PLT_S_DART,AI_2.PLT_S_DART.1,AI_2.ED_NO,AI_3.PLT_S_DART,AI_3.ED_NO,AI_4.PLT_S_DART,AI_4.ED_NO,nAI.LD50.cont.24,nAI.LD50.cont.48,AI_1.LD50.cont.24,AI_1.LD50.cont.48,AI_2.LD50.cont.24,AI_2.LD50.cont.48,AI_3.LD50.cont.24,AI_3.LD50.cont.48,AI_4.LD50.cont.24,AI_4.LD50.cont.48,nAI.PRED.LD50.cont.24,nAI.PRED.LD50.cont.48,Ratio.LD50.cont.24,Ratio.LD50.cont.48,nAI.LD50.oral.24,nAI.LD50.oral.48,AI_1.LD50.oral.24,AI_1.LD50.oral.48,AI_2.LD50.oral.24,AI_2.LD50.oral.48,AI_3.LD50.oral.24,AI_3.LD50.oral.48,AI_4.LD50.oral.24,AI_4.LD50.oral.48,nAI.PRED.LD50.oral.24,nAI.PRED.LD50.oral.48,Ratio.LD50.oral.24,Ratio.LD50.oral.48
insecticide,CYB+IMD ,CYB+IMD,FS (80+150),0.00,SC25 + FS350,2,M-421688-01-1,80,150,,,0.0708,0.1327,,,1.130,,Beta-cyfluthrin SC 25,M-051896-01-1,Imidacloprid FS 350,Imidacloprid FS 350,M-500305-01-1,-,-,-,-,n.d.,0.60,0.01,0.01,0.15,0.06,-,-,-,-,-,0.07,-,0.12,0.476,0.311,0.17,0.13,n.d.,0.054,-,-,-,-,-,0.33,-,1.07
insecticide,IMD+TDC ,IMD+TDC,FS (150+450),0,FS350 + FS400,1,M-127978-01-1,150,450,,,0.1213,0.3638,,,1.237,,imidacloprid FS 350,M-500305-01-1,thiodicarb FS 400 G,thiodicarb FS 400 G,M-361379-01-1,-,-,-,-,2.70,2.20,0.15,0.06,158.70,92.30,-,-,-,-,1.27,0.49,0.47,0.22,0.69,0.65,n.d.,0.054,1.90,1.90,-,-,-,-,-,0.41,-,0.63
insecticide & fungicide,PTZ & Karate Zeon ,PTZ&LCY,EC 250 & CS 100,0.00,EC250 & CS100,1,M-105337-01-1,250,100,,,0.2500,0.1000,,,1.000,Tank mix,prothioconazole EC 250 G,M-182441-01-1,lambda-cyhalothrin CS 100 G,lambda-cyhalothrin CS 100 G,M-182486-01-1,-,-,-,-,5.32,4.26,132.01,116.20,0.23,0.17,-,-,-,-,2.33,1.70,0.44,0.40,11.11,10.48,124.22,105.90,0.88,0.70,-,-,-,-,8.67,6.91,0.78,0.66
insecticide & fungicide,PTZ & Karate Zeon ,PTZ&LCY,EC 250 & CS 100,0.00,EC250 & CS100,1,M-182501-01-1,250,100,,,0.2500,0.1000,,,1.000,Tank mix,prothioconazole EC 250 G,M-182441-01-1,lambda-cyhalothrin CS 100 G,lambda-cyhalothrin CS 100 G,M-182486-01-1,-,-,-,-,7.00,6.00,132.01,116.20,0.23,0.17,-,-,-,-,2.33,1.70,0.33,0.28,17.60,13.90,124.22,105.90,0.88,0.70,-,-,-,-,8.67,6.91,0.49,0.50
insecticide & fungicide,TBZ & Karate Zeon ,TBZ&LCY,EW 250 & CS 100,0.00,EW250 & CS100,1,M-182540-01-1,250,100,,,0.2500,0.1000,,,1.000,Tank mix,tebuconazole EW 250 G ,M-182469-01-1,lambda-cyhalothrin CS 100 G,lambda-cyhalothrin CS 100 G,M-182486-01-1,-,-,-,-,3.20,2.40,56.16,47.80,0.23,0.17,-,-,-,-,2.32,1.69,0.72,0.71,5.40,4.60,96.80,78.80,0.88,0.70,-,-,-,-,8.62,6.87,1.60,1.49
insecticide & fungicide,TBZ & Karate Zeon ,TBZ&LCY,EW 250 & CS 100,0.00,EW250 & CS100,1,M-182494-01-1,250,100,,,0.2500,0.1000,,,1.000,Tank mix,tebuconazole EW 250 G ,M-182469-01-1,lambda-cyhalothrin CS 100 G,lambda-cyhalothrin CS 100 G,M-182486-01-1,-,-,-,-,4.50,3.70,56.16,47.80,0.23,0.17,-,-,-,-,2.32,1.69,0.51,0.46,6.20,4.80,96.80,78.80,0.88,0.70,-,-,-,-,8.62,6.87,1.39,1.43
insecticide & fungicide,PTZ & Fastac ,PTZ&ACY,EC 250 & SC 100,0.00,EC250 & SC100,1,M-182535-01-1,250,100,,,0.2500,0.1000,,,1.000,Tank mix,prothioconazole EC 250 G,M-182441-01-1,alpha-cypermethrin SC 100,alpha-cypermethrin SC 100,M-182498-01-1,-,-,-,-,3.60,3.40,132.01,116.20,0.05,0.04,-,-,-,-,0.50,0.42,0.14,0.12,10.70,10.00,124.22,105.90,0.25,0.17,-,-,-,-,2.46,1.72,0.23,0.17
insecticide & fungicide,PTZ & Fastac ,PTZ&ACY,EC 250 & SC 100,0.00,EC250 & SC100,1,M-105301-01-1,250,100,,,0.2500,0.1000,,,1.000,Tank mix,prothioconazole EC 250 G,M-182441-01-1,alpha-cypermethrin SC 100,alpha-cypermethrin SC 100,M-182498-01-1,-,-,-,-,2.78,2.59,132.01,116.20,0.05,0.04,-,-,-,-,0.50,0.42,0.18,0.16,7.51,9.00,124.22,105.90,0.25,0.17,-,-,-,-,2.46,1.72,0.33,0.19
insecticide & fungicide,TBZ & Fastac ,TBZ&ACY,EW 250 & SC 100,0.00,EW250 & SC100,1,M-182512-02-1,250,100,,,0.2500,0.1000,,,1.000,Tank mix,tebuconazole EW 250 G ,M-182469-01-1,alpha-cypermethrin SC 100,alpha-cypermethrin SC 100,M-182498-01-1,-,-,-,-,5.40,5.00,56.16,47.80,0.05,0.04,-,-,-,-,0.50,0.42,0.09,0.08,8.90,7.90,96.80,78.80,0.25,0.17,-,-,-,-,2.45,1.72,0.28,0.22
insecticide & fungicide,TBZ & Fastac ,TBZ&ACY,EW 250 & SC 100,0.00,EW250 & SC100,1,M-182518-02-1,250,100,,,0.2500,0.1000,,,1.000,Tank mix,tebuconazole EW 250 G ,M-182469-01-1,alpha-cypermethrin SC 100,alpha-cypermethrin SC 100,M-182498-01-1,-,-,-,-,3.80,3.40,56.16,47.80,0.05,0.04,-,-,-,-,0.50,0.42,0.13,0.12,9.60,9.00,96.80,78.80,0.25,0.17,-,-,-,-,2.45,1.72,0.26,0.19
insecticide & fungicide,DLT+TCP & PTZ ,DLT+TCP&PTZ,OD (10+100) & EC 250,1.00,EC25 + OD180 & EC250,2,M-103522-01-1,10,100,250,,0.0100,0.1000,0.2500,,1.000,Tank mix,deltamethrin EC 25,M-555661-01-1,thiacloprid OD 180 G,thiacloprid OD 180 G,M-272691-01-1,prothioconazole EC 250 G,M-182441-01-1,-,-,20.07,17.79,0.056,0.047,13.05,11.40,132.01,116.20,-,-,5.32,4.47,0.26,0.25,22.02,21.61,0.47,0.42,10.35,10.20,124.22,105.90,-,-,30.22,27.67,1.37,1.28
insecticide & fungicide,TCP & PTZ+TBZ ,TCP&PTZ+TBZ,OD 240 & EC (15+125),1.00,OD240 & EC250 + EW250,2,M-105306-01-1,240,15,125,,0.2400,0.0150,0.1250,,1.000,Tank mix,thiacloprid OD 240 G,M-103506-01-1,prothioconazole EC 250 G,prothioconazole EC 250 G,M-182441-01-1,tebuconazole EW 250 G,M-182469-01-1,-,-,22.60,22.12,19.59,18.98,132.01,116.20,56.16,47.80,-,-,68.55,64.98,3.03,2.94,7.44,6.67,6.68,6.01,124.22,105.90,96.80,78.80,-,-,26.79,24.01,3.60,3.60
insecticide & fungicide,TBZ & DLT+TCP ,TBZ&DLT+TCP,EW 250 & OD (10+100),1.00,EW250 & EC25 + OD180,2,M-103541-01-1,250,10,100,,0.2500,0.0100,0.1000,,1.000,Tank mix,tebuconazole EW 250 G ,M-182469-01-1,deltamethrin EC 25 G,deltamethrin EC 25 G,M-555661-01-1,thiacloprid OD 180 G,M-272691-01-1,-,-,7.06,6.31,56.16,47.80,0.056,0.047,13.05,11.40,-,-,5.24,4.41,0.74,0.70,8.95,8.41,96.80,78.80,0.47,0.42,10.35,10.20,-,-,29.71,27.06,3.32,3.22
insecticide & fungicide,PTZ+TBZ & DLT+TCP ,PTZ+TBZ&DLT+TCP,EC (125+125) & OD (10+100),1.00,EC250 + EW250 & EC25 + OD180,2,M-103526-01-1,125,125,10,100,0.1250,0.1250,0.0100,0.1000,1.000,Tank mix,thiacloprid OD 180 G,M-272691-01-1,deltamethrin EC 25 G,deltamethrin EC 25 G,M-555661-01-1,prothioconazole EC 250 G,M-182441-01-1,tebuconazole EW 250 G,M-182469-01-1,10.00,8.77,132.01,116.20,56.16,47.80,0.056,0.047,13.05,11.40,5.28,4.44,0.53,0.51,12.92,12.34,124.22,105.90,96.80,78.80,0.47,0.42,10.35,10.20,29.96,27.36,2.32,2.22
insecticide & fungicide,PTZ & Etofenprox ,PTZ&ETF,EC 250 & EC 30,0.00,EC250 & EC30,1,M-360053-01-1,250,30,,,0.2500,0.0300,,,1.000,Tank mix,prothioconazole EC 250 G,M-182441-01-1,Etofen 30 EC,Etofen 30 EC,M-359277-01-1,-,-,-,-,3.40,3.30,132.01,116.20,0.48,0.46,-,-,-,-,15.53,14.84,4.57,4.50,12.60,12.90,124.22,105.90,1.41,1.41,-,-,-,-,42.94,42.31,3.41,3.28
insecticide & fungicide,DLT & PTZ ,DLT&PTZ,EW 15 & EW 250,0.00,EW15 & EC250,2,M-103554-01-1,15,250,,,0.0150,0.2500,,,1.000,Tank mix,deltamethrin EW 15 G,M-103549-01-1,prothioconazole EC 250 G,prothioconazole EC 250 G,M-182441-01-1,-,-,-,-,10.18,9.29,0.08,0.07,132.01,116.20,-,-,-,-,5.16,4.94,0.51,0.53,7.57,6.62,0.07,0.06,124.22,105.90,-,-,-,-,4.47,4.22,0.59,0.64
insecticide & fungicide,TBZ & TCP ,TBZ&TCP,EW 250 & OD 240,1.00,EW250 & OD240,1,M-103547-01-1,250,240,,,0.2500,0.2400,,,1.000,Tank mix,tebuconazole EW 250 G ,M-182469-01-1,thiacloprid OD 240 G,thiacloprid OD 240 G,M-103506-01-1,-,-,-,-,15.45,15.16,56.16,47.80,19.59,18.98,-,-,-,-,59.88,55.94,3.88,3.69,10.54,10.30,96.80,78.80,6.68,6.01,-,-,-,-,25.97,23.21,2.46,2.25
insecticide & fungicide,PTZ & bifenthrin ,PTZ&BFN,EC 250 & SC 80,0.00,EC250 & SC80,1,M-360050-01-1,250,80,,,0.2500,0.0800,,,1.000,Tank mix,prothioconazole EC 250 G,M-182441-01-1,bifenthrin SC 80 G,bifenthrin SC 80 G,M-359276-01-1,-,-,-,-,8.41,8.14,132.01,116.20,0.14,0.13,-,-,-,-,1.74,1.62,0.21,0.20,12.61,12.61,124.22,105.90,0.50,0.48,-,-,-,-,6.17,5.92,0.49,0.47
insecticide & fungicide,TCP & PTZ ,TCP&PTZ,OD 240 & EC 250,1.00,OD240 & EC250,1,M-103518-01-1,240,250,,,0.2400,0.2500,,,1.000,Tank mix,thiacloprid OD 240 G,M-103506-01-1,prothioconazole EC 250 G,prothioconazole EC 250 G,M-182441-01-1,-,-,-,-,67.99,65.00,19.59,18.98,132.01,116.20,-,-,-,-,70.71,67.58,1.04,1.04,72.69,67.80,6.68,6.01,124.22,105.90,-,-,-,-,26.36,23.65,0.36,0.35
insecticide + fungicide,DLT+TBZ SE ,DLT+TBZSE,SE (0.5+10),0.00,EW15 + SE43,2,M-289532-01-1,0.5,10,,,0.0005,0.0100,,,1.000,,deltamethrin EW 15 G,M-103549-01-1,tebuconazole SE 043,tebuconazole SE 043,M-1368687-01-1,-,-,-,-,171.10,90.90,0.08,0.08,97.20,79.60,-,-,-,-,157.18,150.14,0.92,1.65,110.00,110.00,0.07,0.07,41.50,25.80,-,-,-,-,133.80,124.30,1.22,1.13
insecticide + fungicide,CTD+PTZ ,CTD+PTZ,FS (250+50),0.00,FS250 + FS25,1,M-501142-01-1,250,50,,,0.2099,0.0420,,,1.191,,Clothianidin FS 250,M-359875-01-1,Prothioconazole FS 25,Prothioconazole FS 25,M-610383-01-1,-,-,-,-,0.15,0.15,0.07,0.08,43.50,43.50,-,-,-,-,0.36,0.36,2.32,2.45,0.03,0.03,0.0049,0.0049,13.40,13.10,-,-,-,-,0.02,0.02,0.78,0.84
insecticide + fungicide,IMD+PTZ ,IMD+PTZ,FS (175+25),0.00,FS350 + FS25,1,M-411260-01-1,175,25,,,0.1564,0.0223,,,1.119,,Imidacloprid FS 350,M-500305-01-1,Prothioconazole FS 25,Prothioconazole FS 25,M-610383-01-1,-,-,-,-,4.50,3.20,0.15,0.06,43.50,43.50,-,-,-,-,0.98,0.38,0.22,0.12,0.42,0.21,n.d.,0.054,13.40,13.10,-,-,-,-,-,0.34,-,1.63
insecticide + fungicide,IMD+TBZ ,IMD+TBZ,FS (233+13),0.00,FS350 + FS60,1,M-405332-01-1,233,13,,,0.2033,0.0113,,,1.146,,Imidacloprid FS 350,M-500305-01-1,Tebuconazole FS 60,Tebuconazole FS 60,M-103501-01-1,-,-,-,-,1.60,1.40,0.15,0.06,> 200.01,> 200.01,-,-,-,-,-,-,-,-,n.d.,0.19,n.d.,0.054,45.33,45.33,-,-,-,-,-,0.26,-,1.39
